,user_id,break_10-1,Score,Result_class,lost_9-2,3wu_8-3,lost_8-4,break_8-5
13,7014072824473232,1,89.96967704247697,1,0,-1,0,0
18,7014081224532261,0,64.64655095705042,1,1,4,0,0
22,7014082666769932,1,64.40087153843677,1,0,4,0,0
4,7014061324297576,0,63.25529485189448,1,1,4,0,0
1,7014042824190269,0,63.23710523912537,1,1,4,0,0
28,7014092124667624,0,63.20196537658739,1,1,4,0,0
3,7014060324265732,1,63.201004728588785,1,0,4,0,0
27,7014091824657809,1,63.182190579514305,1,0,4,0,0
19,7014081866593974,0,63.15074324491851,1,1,4,0,0
14,7014073066562602,1,62.72502820295176,1,0,2,0,0
20,7014081924556276,1,61.88107187833724,1,0,2,0,0
17,7014081066580390,0,61.43720386297019,1,1,2,0,0
16,7014080424508624,1,61.13692906717586,1,0,2,0,0
12,7014072024441494,0,60.43269690781899,1,1,2,0,0
25,7014090424621384,1,59.137336042537704,1,0,4,0,0
5,7014061724310129,0,58.98893779801967,1,0,-1,1,1
2,7014053024252583,1,58.8774358440468,1,0,4,0,0
11,7014071724431007,0,58.53644734946951,1,0,-1,1,1
9,7014070924404053,0,58.5275165899067,1,0,-1,1,1
6,7014061766482655,0,58.16055327161879,1,0,-1,1,1
8,7014070824400809,0,58.07329196131806,1,0,-1,1,1
0,7014041624183801,0,58.04923384276685,1,0,-1,1,1
21,7014082424572786,0,57.946766442883636,1,0,-1,1,1
23,7014082866775174,0,56.090876497669484,1,0,-1,1,1
26,7014090667102303,0,55.322467780807905,1,0,-1,1,1
15,7014073124491128,0,55.29672983841149,1,0,-1,1,1
29,7014092167231574,0,54.99404924811652,1,0,-1,1,1
24,7014090324618374,0,54.422161932793266,1,0,-1,1,1
10,7014071524423245,1,42.932345729056046,0,0,-1,0,0
7,7014062166489206,1,42.156862745136564,0,0,-1,0,0
684,7014063024369440,0,29.497557125163652,0,0,-1,0,0
30,7014030524179926,0,13.021038061601256,0,0,-1,0,0
476,7014082024558692,0,4.777499516537701,0,0,4,0,0
630,7014070766523974,0,4.583759362940628,0,0,4,0,0
646,7014071824435012,0,4.215374920046484,0,0,4,0,0
141,7014060724277621,0,3.9925927386242392,0,0,2,0,0
153,7014072824473467,0,3.486338256253845,0,0,2,0,0
199,7014062524342574,0,3.345800188314274,0,0,2,0,0
411,7014081924557149,0,3.2885239893412765,0,0,-1,0,0
625,7014061024284737,0,3.2833673743610703,0,0,2,0,0
582,7014080766576328,0,3.232109080900985,0,0,-1,0,0
568,7014082724587237,0,2.886384290787115,0,0,2,0,0
668,7014090967104955,0,2.7837326226260393,0,0,-1,0,0
588,7014091624651940,0,2.7546245405703718,0,0,-1,0,0
536,7014070224383113,0,2.7366332728296388,0,0,-1,0,0
720,7014061924318586,0,2.6852118599866164,0,0,-1,0,0
398,7014060524273193,0,2.6706093660916816,0,0,-1,0,0
387,7014091624652507,0,2.6691454892256408,0,0,-1,0,0
193,7014090924633711,0,2.582195740536501,0,0,4,0,0
400,7014062966508198,0,2.5728036966617154,0,0,-1,0,0
353,7014082966882641,0,2.5728036966617154,0,0,-1,0,0
460,7014090924634805,0,2.5678786562980638,0,0,-1,0,0
281,7014052966445057,0,2.566338141366911,0,0,-1,0,0
247,7014061924318112,0,2.5217229824744267,0,0,-1,0,0
413,7014052224229602,0,2.4484597584013588,0,0,-1,0,0
192,7014092124667813,0,2.4405758708647394,0,0,-1,0,0
620,7014082866777271,0,2.430473103361174,0,0,2,0,0
203,7014062966507856,0,2.4248348482389575,0,0,2,0,0
442,7014053024253299,0,2.4205806280793243,0,0,-1,0,0
376,7014081966611589,0,2.4186530007318194,0,0,-1,0,0
382,7014092124667787,0,2.4171189959421486,0,0,-1,0,0
477,7014062824360107,0,2.4171189959421486,0,0,-1,0,0
444,7014072866557771,0,2.414290887953369,0,0,-1,0,0
330,7014090124609662,0,2.4127921696517407,0,0,2,0,0
252,7014090124612230,0,2.412263347592381,0,0,-1,0,0
656,7014062724352084,0,2.4069279398896204,0,0,-1,0,0
473,7014092024664898,0,2.4029036472108207,0,0,-1,0,0
368,7014083066888644,0,2.4007791012486934,0,0,-1,0,0
466,7014090124609707,0,2.400288464960875,0,0,-1,0,0
337,7014092324674211,0,2.3986343851632967,0,0,-1,0,0
590,7014082566768201,0,2.3943544368906795,0,0,-1,0,0
237,7014052866444643,0,2.3934520263060115,0,0,-1,0,0
393,7014092224670166,0,2.384984874640981,0,0,-1,0,0
714,7014082724585478,0,2.3747341096077577,0,0,-1,0,0
699,7014070624395036,0,2.370953010150557,0,0,-1,0,0
708,7014082324571827,0,2.3682598475487504,0,0,4,0,0
129,7014081724549639,0,2.3626048463247464,0,0,-1,0,0
500,7014071124410492,0,2.3576223782737933,0,0,-1,0,0
307,7014092024666111,0,2.3557869369446736,0,0,-1,0,0
360,7014072124445657,0,2.3427004805377223,0,0,-1,0,0
663,7014090124609658,0,2.3411273300326885,0,0,4,0,0
295,7014072166544322,0,2.3251272542751873,0,0,-1,0,0
654,7014072166542702,0,2.3251272542751873,0,0,-1,0,0
232,7014071666534018,0,2.3243303685674395,0,0,-1,0,0
264,7014071124411900,0,2.3237159022333116,0,0,-1,0,0
422,7014071724432803,0,2.3237159022333116,0,0,-1,0,0
97,7014070724398650,0,2.3226514347394187,0,0,-1,0,0
256,7014052724243660,0,2.320182083051943,0,0,-1,0,0
155,7014090224614855,0,2.320182083051943,0,0,-1,0,0
303,7014081524542618,0,2.320182083051943,0,0,-1,0,0
317,7014082566766299,0,2.318211283015315,0,0,-1,0,0
270,7014090567101334,0,2.3152489447742814,0,0,-1,0,0
414,7014090524623026,0,2.3152489447742814,0,0,-1,0,0
275,7014061124289327,0,2.313740923835938,0,0,-1,0,0
94,7014082866775219,0,2.3123290474190177,0,0,-1,0,0
122,7014052224227479,0,2.3108258367002463,0,0,2,0,0
116,7014091724653948,0,2.310327814169213,0,0,-1,0,0
260,7014090567100376,0,2.3084989617413942,0,0,-1,0,0
513,7014052966448801,0,2.3054186659960134,0,0,-1,0,0
362,7014071324418502,0,2.302168795929277,0,0,-1,0,0
652,7014081566587861,0,2.300958063084983,0,0,-1,0,0
678,7014062366492042,0,2.2988339724015083,0,0,-1,0,0
515,7014083124603804,0,2.2965995013880165,0,0,-1,0,0
520,7014070524391963,0,2.294019164690942,0,0,-1,0,0
394,7014060166455839,0,2.2936779706937234,0,0,-1,0,0
115,7014062624348764,0,2.2917499969868085,0,0,-1,0,0
540,7014090224615007,0,2.289493494890253,0,0,-1,0,0
494,7014052624238102,0,2.2872019049646637,0,0,2,0,0
179,7014090224613243,0,2.2846683328184296,0,0,-1,0,0
383,7014061224291324,0,2.2743915102315015,0,0,-1,0,0
139,7014082566766159,0,2.2723198300275094,0,0,-1,0,0
614,7014081566587785,0,2.272056520378768,0,0,-1,0,0
242,7014082524579060,0,2.272056520378768,0,0,-1,0,0
562,7014090624625233,0,2.269396454260499,0,0,-1,0,0
292,7014081224533314,0,2.2674918779888102,0,0,-1,0,0
42,7014070724397458,0,2.2580800155410654,0,0,2,0,0
416,7014071424420293,0,2.2575257572621075,0,0,4,0,0
64,7014060466460658,0,2.2572211939036335,0,0,-1,0,0
55,7014072524462257,0,2.2521673530626494,0,0,-1,0,0
563,7014081124531465,0,2.2519446294137,0,0,-1,0,0
321,7014073124489518,0,2.251637222294493,0,0,-1,0,0
576,7014091224644097,0,2.251637222294493,0,0,-1,0,0
517,7014070866524928,0,2.251637222294493,0,0,-1,0,0
622,7014071624429438,0,2.249010863694911,0,0,-1,0,0
377,7014063024370619,0,2.2438965221521254,0,0,-1,0,0
88,7014091824658772,0,2.2422059034071777,0,0,-1,0,0
410,7014090424620650,0,2.2375075587612243,0,0,-1,0,0
409,7014060424268798,0,2.234468188456829,0,0,-1,0,0
385,7014081966611642,0,2.2337049714731894,0,0,-1,0,0
363,7014090324616524,0,2.2328207244808542,0,0,-1,0,0
73,7014042924190683,0,2.2298997684936377,0,0,-1,0,0
305,7014091224643557,0,2.2281453759833894,0,0,-1,0,0
316,7014070924403969,0,2.2114831898326757,0,0,-1,0,0
418,7014091967126006,0,2.210083213597096,0,0,-1,0,0
254,7014082466765240,0,2.207791833816806,0,0,-1,0,0
95,7014081224532333,0,2.2051431450720056,0,0,-1,0,0
92,7014071224414763,0,2.2034255314016065,0,0,-1,0,0
325,7014090724627867,0,2.203330206244619,0,0,2,0,0
367,7014052224229279,0,2.199409404065841,0,0,-1,0,0
269,7014092167229928,0,2.198496481833589,0,0,-1,0,0
565,7014081124529161,0,2.1980792360431085,0,0,-1,0,0
36,7014060966469839,0,2.1934301068201156,0,0,-1,0,0
147,7014052224228996,0,2.1918268254884565,0,0,-1,0,0
370,7014052124225705,0,2.1853997523605146,0,0,-1,0,0
467,7014080724516616,0,2.1845275248298144,0,0,-1,0,0
105,7014082524578831,0,2.1835563880611777,0,0,-1,0,0
560,7014072124445823,0,2.179569665388242,0,0,-1,0,0
643,7014062524340620,0,2.179324320833798,0,0,-1,0,0
163,7014072324450881,0,2.172982331110641,0,0,-1,0,0
495,7014060166456360,0,2.172982331110641,0,0,-1,0,0
603,7014082766773978,0,2.172982331110641,0,0,-1,0,0
689,7014052866444571,0,2.172982331110641,0,0,-1,0,0
641,7014091424648264,0,2.172982331110641,0,0,-1,0,0
98,7014051924220288,0,2.172893138803853,0,0,-1,0,0
298,7014091124639921,0,2.171792762093566,0,0,2,0,0
149,7014062266489657,0,2.16816999979865,0,0,-1,0,0
355,7014052924249259,0,2.16816999979865,0,0,-1,0,0
109,7014061224292648,0,2.165412694340521,0,0,-1,0,0
648,7014062824358506,0,2.1638630290664524,0,0,-1,0,0
152,7014092224669622,0,2.162803743034349,0,0,-1,0,0
137,7014082866775142,0,2.1623920058800445,0,0,-1,0,0
352,7014092167230700,0,2.16176759557787,0,0,-1,0,0
557,7014052524235263,0,2.161329478912479,0,0,-1,0,0
427,7014060966468579,0,2.161329478912479,0,0,-1,0,0
504,7014081324536840,0,2.159699149965377,0,0,-1,0,0
572,7014071924438250,0,2.159418939318143,0,0,-1,0,0
183,7014090824631330,0,2.1589008860065544,0,0,-1,0,0
472,7014090324616083,0,2.1589008860065544,0,0,-1,0,0
448,7014090224612622,0,2.1585805706183017,0,0,-1,0,0
253,7014090124608983,0,2.1570332335969318,0,0,-1,0,0
274,7014082524577265,0,2.1564956672079334,0,0,-1,0,0
117,7014081266583018,0,2.1564935671734577,0,0,-1,0,0
224,7014061924316907,0,2.154600311532166,0,0,-1,0,0
662,7014070966526886,0,2.154587690051591,0,0,-1,0,0
549,7014091024635461,0,2.1541735397448583,0,0,-1,0,0
176,7014090924634846,0,2.1523104587815447,0,0,-1,0,0
121,7014053066452120,0,2.151920710512843,0,0,-1,0,0
457,7014070724397539,0,2.1416393869760424,0,0,-1,0,0
389,7014082524577454,0,2.139583147394062,0,0,-1,0,0
685,7014090324616493,0,2.1391707042059815,0,0,-1,0,0
304,7014090467086546,0,2.1391707042059815,0,0,-1,0,0
161,7014071024409273,0,2.138840288331877,0,0,-1,0,0
143,7014052824245889,0,2.1384482483605725,0,0,-1,0,0
144,7014081224532707,0,2.1365495631952647,0,0,-1,0,0
521,7014061666480094,0,2.1346343463896815,0,0,-1,0,0
417,7014053124257484,0,2.1343842848591628,0,0,-1,0,0
212,7014062724354906,0,2.134048785643616,0,0,-1,0,0
61,7014083124605267,0,2.132828222007438,0,0,-1,0,0
263,7014071424421396,0,2.1322762223754848,0,0,-1,0,0
698,7014090324617064,0,2.1308628823082656,0,0,-1,0,0
276,7014080224502454,0,2.129135690352368,0,0,-1,0,0
605,7014053066450203,0,2.1282991638177595,0,0,2,0,0
433,7014072124445913,0,2.1273318302118716,0,0,-1,0,0
404,7014042924191344,0,2.1270525990015696,0,0,-1,0,0
35,7014063024372284,0,2.125984124377688,0,0,-1,0,0
670,7014070124376120,0,2.124993883386963,0,0,-1,0,0
719,7014060224264580,0,2.124993883386963,0,0,-1,0,0
667,7014061324296333,0,2.124993883386963,0,0,-1,0,0
463,7014062724354091,0,2.123972125142161,0,0,-1,0,0
111,7014081524542005,0,2.1234288721091623,0,0,-1,0,0
660,7014071224414835,0,2.1227995347630815,0,0,-1,0,0
611,7014052966446623,0,2.1227735362784346,0,0,-1,0,0
133,7014053066449016,0,2.122439294576586,0,0,-1,0,0
531,7014083124606793,0,2.1214365077260284,0,0,-1,0,0
604,7014083124605730,0,2.1214365077260284,0,0,-1,0,0
535,7014042824189860,0,2.1207204984503085,0,0,-1,0,0
251,7014092267234111,0,2.119117622294915,0,0,-1,0,0
159,7014081266583040,0,2.1187189601996006,0,0,-1,0,0
266,7014060266457323,0,2.1187189601996006,0,0,-1,0,0
464,7014062724353975,0,2.1177972608205806,0,0,-1,0,0
693,7014082024560108,0,2.117541022033126,0,0,-1,0,0
497,7014060666463605,0,2.11438642475614,0,0,-1,0,0
69,7014082866774779,0,2.1133360660466805,0,0,-1,0,0
480,7014082224566242,0,2.1122977603575706,0,0,-1,0,0
640,7014090266991199,0,2.112091628785785,0,0,-1,0,0
32,7014090124610273,0,2.110479721434981,0,0,-1,0,0
486,7014051724216092,0,2.1102313030341966,0,0,-1,0,0
548,7014091524650013,0,2.1083248043793255,0,0,-1,0,0
623,7014062524343564,0,2.106283965087739,0,0,-1,0,0
228,7014062866504525,0,2.1055677413318463,0,0,-1,0,0
284,7014041824184616,0,2.103159046217548,0,0,-1,0,0
686,7014090624626381,0,2.1026280155552777,0,0,-1,0,0
632,7014053024252425,0,2.1026280155552777,0,0,-1,0,0
194,7014060124261330,0,2.1019925138503313,0,0,-1,0,0
293,7014052724243188,0,2.1018491679694296,0,0,-1,0,0
162,7014061824313509,0,2.100081700264247,0,0,-1,0,0
134,7014072224448258,0,2.100075570432895,0,0,-1,0,0
319,7014060966469767,0,2.100014638283952,0,0,-1,0,0
436,7014052724242215,0,2.100014638283952,0,0,-1,0,0
113,7014071824437213,0,2.0994041093245186,0,0,2,0,0
185,7014080466571579,0,2.0986705666726677,0,0,-1,0,0
594,7014053066449002,0,2.097164778322469,0,0,-1,0,0
405,7014090166890209,0,2.0956855052125185,0,0,-1,0,0
273,7014080824519203,0,2.094592260334534,0,0,-1,0,0
225,7014072724468706,0,2.0928649816548446,0,0,-1,0,0
124,7014090124609793,0,2.0922359211858326,0,0,-1,0,0
358,7014082724584014,0,2.0909034794188837,0,0,-1,0,0
294,7014091224644128,0,2.0902271654231206,0,0,-1,0,0
371,7014082724585423,0,2.0888147886749877,0,0,-1,0,0
608,7014091967126736,0,2.088519304427032,0,0,-1,0,0
72,7014090767102489,0,2.088013336746172,0,0,-1,0,0
629,7014090824630165,0,2.088013336746172,0,0,-1,0,0
312,7014071924440180,0,2.0878486143796735,0,0,-1,0,0
573,7014080966579604,0,2.087319524035536,0,0,-1,0,0
591,7014052866444747,0,2.0865188825850725,0,0,-1,0,0
145,7014051924221462,0,2.0865188825850725,0,0,-1,0,0
704,7014090924633252,0,2.086039201076147,0,0,-1,0,0
578,7014062424338218,0,2.086039201076147,0,0,-1,0,0
282,7014080724518687,0,2.0857154627710215,0,0,-1,0,0
550,7014070224381723,0,2.084648556466552,0,0,-1,0,0
420,7014061266475347,0,2.0842290956664873,0,0,-1,0,0
587,7014072224447803,0,2.0842290956664873,0,0,-1,0,0
430,7014062966504818,0,2.0842073786805364,0,0,4,0,0
650,7014071724432655,0,2.0832081214153746,0,0,-1,0,0
108,7014061866484865,0,2.0824150993614343,0,0,-1,0,0
338,7014091167107997,0,2.080791860883912,0,0,-1,0,0
508,7014090124612311,0,2.080791860883912,0,0,-1,0,0
209,7014052766440228,0,2.080791860883912,0,0,-1,0,0
543,7014073024482574,0,2.080791860883912,0,0,-1,0,0
449,7014053024252439,0,2.0805150895007385,0,0,2,0,0
581,7014051724215269,0,2.0775171270887167,0,0,-1,0,0
217,7014061824315057,0,2.0767056101167425,0,0,-1,0,0
340,7014061024284697,0,2.070718591097359,0,0,-1,0,0
507,7014060524272865,0,2.068414840880075,0,0,-1,0,0
369,7014041824184648,0,2.0673470851881643,0,0,-1,0,0
723,7014080524511481,0,2.065345440122468,0,0,-1,0,0
595,7014090267005572,0,2.063781925030328,0,0,-1,0,0
401,7014060324267028,0,2.062280545528121,0,0,-1,0,0
519,7014052824246775,0,2.0617635085371915,0,0,-1,0,0
428,7014052324230303,0,2.06097816196388,0,0,-1,0,0
616,7014082724586099,0,2.060283754077169,0,0,-1,0,0
222,7014061224292143,0,2.0601832944555647,0,0,-1,0,0
299,7014091824659302,0,2.0601832944555647,0,0,-1,0,0
599,7014091524648467,0,2.0601832944555647,0,0,-1,0,0
39,7014021824179160,0,2.0601832944555647,0,0,-1,0,0
44,7014061224292152,0,2.0601832944555647,0,0,-1,0,0
406,7014091824659325,0,2.0601832944555647,0,0,-1,0,0
610,7014082824592795,0,2.0601832944555647,0,0,-1,0,0
726,7014091824659005,0,2.0601832944555647,0,0,-1,0,0
607,7014092124669159,0,2.0585396968633476,0,0,-1,0,0
561,7014052624239831,0,2.0585396968633476,0,0,-1,0,0
259,7014082766771894,0,2.0571798372068257,0,0,-1,0,0
700,7014062624345384,0,2.056955792182035,0,0,-1,0,0
226,7014091124640145,0,2.0559070858819926,0,0,-1,0,0
245,7014072524460817,0,2.0559070858819926,0,0,-1,0,0
683,7014092067177621,0,2.0539352138805507,0,0,4,0,0
365,7014052124224521,0,2.0526061712782937,0,0,-1,0,0
702,7014082766771484,0,2.052039171113347,0,0,-1,0,0
468,7014053124257844,0,2.0518654606941023,0,0,-1,0,0
315,7014091624651611,0,2.0503580800885866,0,0,-1,0,0
443,7014072424456169,0,2.0503580800885866,0,0,-1,0,0
512,7014060324267131,0,2.0503580800885866,0,0,-1,0,0
524,7014073124489883,0,2.0483508006696742,0,0,-1,0,0
496,7014052424233922,0,2.0483508006696742,0,0,-1,0,0
309,7014081224533756,0,2.048211976989149,0,0,-1,0,0
215,7014083124605005,0,2.0453162415929733,0,0,-1,0,0
37,7014062966508747,0,2.0453162415929733,0,0,-1,0,0
324,7014083124605032,0,2.0445041168686267,0,0,-1,0,0
342,7014082924593712,0,2.0433138857105777,0,0,-1,0,0
533,7014091324645343,0,2.0426465770537034,0,0,-1,0,0
534,7014051924221453,0,2.0426465770537034,0,0,-1,0,0
213,7014090924632235,0,2.0423854079147135,0,0,-1,0,0
187,7014061924318329,0,2.039989983323066,0,0,-1,0,0
339,7014091724654221,0,2.0385438088607355,0,0,-1,0,0
455,7014061924318900,0,2.038240782516215,0,0,-1,0,0
53,7014071024409476,0,2.0382112320738903,0,0,-1,0,0
257,7014051224207830,0,2.0371516921849473,0,0,-1,0,0
344,7014083124606559,0,2.0366626214585892,0,0,-1,0,0
639,7014072924478476,0,2.0349870284969267,0,0,-1,0,0
589,7014091624651076,0,2.0337853951482927,0,0,-1,0,0
174,7014091224643656,0,2.0337853951482927,0,0,-1,0,0
211,7014090224615011,0,2.0337853951482927,0,0,-1,0,0
715,7014090424620713,0,2.0337853951482927,0,0,-1,0,0
551,7014080524509849,0,2.033188180205624,0,0,-1,0,0
575,7014080124498914,0,2.033188180205624,0,0,-1,0,0
558,7014091224641991,0,2.031843472405813,0,0,-1,0,0
341,7014062924364167,0,2.0317888831651345,0,0,-1,0,0
261,7014052924250324,0,2.028421026568446,0,0,-1,0,0
532,7014062324332525,0,2.0271658772593826,0,0,-1,0,0
156,7014061024283611,0,2.0261348132815695,0,0,-1,0,0
710,7014072666554137,0,2.0238056982488555,0,0,4,0,0
229,7014061224293728,0,2.020365190222193,0,0,-1,0,0
334,7014090124612276,0,2.020252145190749,0,0,-1,0,0
661,7014082724587426,0,2.02023007805907,0,0,-1,0,0
690,7014081766590233,0,2.02023007805907,0,0,-1,0,0
538,7014082524578228,0,2.02023007805907,0,0,-1,0,0
492,7014070224384054,0,2.018468978995475,0,0,-1,0,0
555,7014092224671908,0,2.0182736343245247,0,0,-1,0,0
230,7014062924365305,0,2.0172485649493233,0,0,-1,0,0
313,7014061724311308,0,2.0172315253000317,0,0,-1,0,0
373,7014081924555399,0,2.0172315253000317,0,0,-1,0,0
131,7014051824218923,0,2.0170094443207662,0,0,-1,0,0
440,7014070324386860,0,2.016897775898829,0,0,-1,0,0
680,7014083124605708,0,2.015340420220604,0,0,-1,0,0
483,7014072824472625,0,2.015334525100901,0,0,-1,0,0
200,7014061424298548,0,2.0137088480367904,0,0,-1,0,0
424,7014070424388778,0,2.013326278517603,0,0,-1,0,0
429,7014053024251331,0,2.013326278517603,0,0,-1,0,0
423,7014080324504867,0,2.013326278517603,0,0,-1,0,0
272,7014082124565108,0,2.0124345115261013,0,0,-1,0,0
527,7014061024285191,0,2.0122867047393145,0,0,-1,0,0
724,7014070824403289,0,2.0121559231286357,0,0,-1,0,0
485,7014061924316650,0,2.0107756611113383,0,0,-1,0,0
201,7014071024407784,0,2.0106520190188895,0,0,-1,0,0
127,7014070724399591,0,2.0083909602423375,0,0,-1,0,0
308,7014072324454314,0,2.007788750546884,0,0,-1,0,0
169,7014091224643958,0,2.007407645528593,0,0,-1,0,0
280,7014071024409395,0,2.0034676542198984,0,0,-1,0,0
475,7014073066561932,0,2.0034676542198984,0,0,-1,0,0
384,7014061224292026,0,2.0021588484408266,0,0,-1,0,0
493,7014061524302650,0,2.0021588484408266,0,0,-1,0,0
487,7014061524303424,0,2.0021588484408266,0,0,-1,0,0
728,7014051324208663,0,2.001731165266243,0,0,-1,0,0
112,7014052224228897,0,2.000612029302799,0,0,-1,0,0
100,7014073124489194,0,1.9980210845878084,0,0,-1,0,0
214,7014060824278639,0,1.9974788256137028,0,0,-1,0,0
528,7014091624653308,0,1.9974591054310473,0,0,-1,0,0
126,7014091624653461,0,1.9974591054310473,0,0,-1,0,0
172,7014091224643188,0,1.9974591054310473,0,0,-1,0,0
244,7014060166456432,0,1.9969891852555255,0,0,-1,0,0
238,7014082424572966,0,1.996183393893281,0,0,-1,0,0
82,7014081724549963,0,1.995326326071818,0,0,-1,0,0
692,7014031824180600,0,1.995326326071818,0,0,-1,0,0
644,7014060424268595,0,1.9945690829367824,0,0,-1,0,0
50,7014091624653173,0,1.994260748207199,0,0,-1,0,0
41,7014082924597565,0,1.9925533071012473,0,0,-1,0,0
691,7014052224227474,0,1.9924664006781154,0,0,-1,0,0
658,7014091224641432,0,1.9921312149306338,0,0,-1,0,0
359,7014091224641329,0,1.9921312149306338,0,0,-1,0,0
664,7014042824189892,0,1.988950464690244,0,0,-1,0,0
567,7014072924477058,0,1.9853464996555739,0,0,-1,0,0
584,7014082024560798,0,1.9827382198297456,0,0,-1,0,0
135,7014090424621181,0,1.9825908860450148,0,0,-1,0,0
